Ignoring roster for [Chungnam] in competition [2018 KeG Championship] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [SK Gaming] in competition [LEC/2024 Season/Summer Season] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Team BDS] in competition [LEC/2024 Season/Summer Season] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Team Heretics] in competition [LEC/2024 Season/Summer Season] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Team Vitality] in competition [LEC/2024 Season/Summer Season] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Arthrit'esport] in competition [LEL 5] as RL and R not equal: ['Next Life SOON', 'Bloody', 'SenSen', 'Aethoxyn', 'Dolonoy'] | ['Jungle', 'Support']
Ignoring roster for [Feet Lovers UwU] in competition [LEL 5] as RL and R not equal: ['FireSpirit', 'Laureee', 'Zard', 'Ronie', 'Cédeyrom'] | Top
Ignoring roster for [Gang des Carapuces] in competition [LEL 5] as RL and R not equal: ['Le mage sombre', 'Bubble stars', 'x9 Law', 'Efi', 'Noxtra'] | 
Ignoring roster for [Grenouillator] in competition [LEL 5] as RL and R not equal: ['Kitanø', 'STAVO', 'WAN', 'Nitjit', 'Raïto'] | ['Mid', 'Support']
Ignoring roster for [Kite in Kimono] in competition [LEL 5] as RL and R not equal: ['Nemari', 'Lusciana', 'Sùn bro', 'Mytsu', 'Bab'] | 
Ignoring roster for [Melting brains] in competition [LEL 5] as RL and R not equal: ['JeanDidierGnar', 'Zenøz', 'Angelou', 'tarée', 'LuxiMir'] | ['Top', 'Jungle']
Ignoring roster for [Team Burton] in competition [LEL 5] as RL and R not equal: ['Athor', 'Bliio', 'Chαrles', 'Justin 1313', 'Sevensen'] | 
Ignoring roster for [TBD] in competition [LFL Division 2/2024 Season/Spring Playoffs] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [LFL Division 2/2024 Season/Spring Playoffs] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [LFL Division 2/2024 Season/Spring Playoffs] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [LFL Division 2/2024 Season/Spring Playoffs] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [LFL Division 2/2024 Season/Spring Playoffs] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [LFL Division 2/2024 Season/Spring Playoffs] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [LFL/2024 Season/Spring Playoffs] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [LFL/2024 Season/Spring Playoffs] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [LFL/2024 Season/Spring Playoffs] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [LFL/2024 Season/Spring Playoffs] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [LFL/2024 Season/Spring Playoffs] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Team BDS Academy] in competition [LFL/2024 Season/Spring Playoffs] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Alpaki] in competition [Liga Akademicka/Season 5] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Analitycy] in competition [Liga Akademicka/Season 5] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Duchy Puszczy] in competition [Liga Akademicka/Season 5] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Farmerzy] in competition [Liga Akademicka/Season 5] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Inżynierzy] in competition [Liga Akademicka/Season 5] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Koziołki] in competition [Liga Akademicka/Season 5] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Laryngolodzy] in competition [Liga Akademicka/Season 5] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Lwy] in competition [Liga Akademicka/Season 5] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Magowie] in competition [Liga Akademicka/Season 5] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Morsy] in competition [Liga Akademicka/Season 5] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Pytony] in competition [Liga Akademicka/Season 5] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Szerszenie] in competition [Liga Akademicka/Season 5] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Tytani] in competition [Liga Akademicka/Season 5] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [UŁani] in competition [Liga Akademicka/Season 5] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Wataha] in competition [Liga Akademicka/Season 5] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [White Panthers] in competition [Liga de Honor Entel/2019 Season/Closing Promotion] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Zeta Strike] in competition [Liga de Honor Entel/2019 Season/Closing Promotion] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Phlox Gaming] in competition [Liga Nexo/2022 Season/Relegations] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Dogs of War] in competition [Liga Nexo/2024 Season/Split 1 Relegations] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Oh we are Spanish bye] in competition [Liga Nexo/2024 Season/Split 1 Relegations] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Boavista FC B] in competition [Liga Promessa/2021 Season/Spring Relegation] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [SAMCLAN Esports Club] in competition [Liga Promessa/2021 Season/Spring Relegation] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [LIT/2024 Season/Spring Playoffs] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [LIT/2024 Season/Spring Playoffs] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [LIT/2024 Season/Spring Playoffs] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [All Knights] in competition [LLA/2024 Season/Opening Playoffs] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Estral Esports] in competition [LLA/2024 Season/Opening Playoffs] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Isurus] in competition [LLA/2024 Season/Opening Playoffs] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Leviatan] in competition [LLA/2024 Season/Opening Playoffs] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Movistar R7] in competition [LLA/2024 Season/Opening Playoffs] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Six Karma] in competition [LLA/2024 Season/Opening Playoffs] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Braves Rising] in competition [Logitech G Challenge 2021/Cono Norte] as RL and R not equal: ['Mortuario', 'Mianare', 'No One'] | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Descuydado Esports] in competition [Logitech G Challenge 2021/Cono Norte] as RL and R not equal: ['Xpontaneous', 'Ganks', 'Nishkyu', 'Davo'] | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Godlike Goats] in competition [Logitech G Challenge 2021/Cono Norte] as RL and R not equal: ['Zantimon', 'Junder', 'Skillhard', 'Kunou'] | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Golden Foxes Gaming] in competition [Logitech G Challenge 2021/Cono Norte] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Project Guardians] in competition [Logitech G Challenge 2021/Cono Norte] as RL and R not equal: ['Italin', 'Kutarra', 'FleekZ'] | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Rainbow7 Academy] in competition [Logitech G Challenge 2021/Cono Norte] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Tilin Esports] in competition [Logitech G Challenge 2021/Cono Norte] as RL and R not equal: ['Shieldworm', 'Bazu', 'Zeypher', 'Ichiwin'] | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Blessed Boys] in competition [Logitech G Challenge 2021/Mexico] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Flaming Dragons Esports] in competition [Logitech G Challenge 2021/Mexico] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Kraken Gaming] in competition [Logitech G Challenge 2021/Mexico] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Olympus Gaming] in competition [Logitech G Challenge 2021/Mexico] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [PÊEK Gaming] in competition [Logitech G Challenge 2021/Mexico] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Sirrush Gaming] in competition [Logitech G Challenge 2021/Mexico] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [The Kings] in competition [Logitech G Challenge 2021/Mexico] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Ungravity] in competition [Logitech G Challenge 2021/Mexico] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [All Gamers] in competition [LPL/2013 Season/Spring Qualifier] as RL and R not equal: ['Venus (Chinese Player)', 'Pluto (Chinese Player)', 'Neptune', 'Saturn (Chinese Player)', 'Earth'] | 
Ignoring roster for [DuoDuo Club] in competition [LPL/2013 Season/Spring Qualifier] as RL and R not equal: ['希尔', '月影剑神', '逆天昊凯', '夜蝴蝶', '和歌忘忧'] | 
Ignoring roster for [Spiritmoon] in competition [LPL/2013 Season/Spring Qualifier] as RL and R not equal: ['Spiritmoon', '牛奶', '蚊爷', '大叔', '韶华'] | 
Ignoring roster for [巅峰势力] in competition [LPL/2013 Season/Spring Qualifier] as RL and R not equal: ['Diego', '大又鸟又鸟', '弑神冷燕', '轩舞旋月刃', '杀你算什么'] | 
Ignoring roster for [饭团] in competition [LPL/2013 Season/Spring Qualifier] as RL and R not equal: ['阿蠢是小西', '永恆的E', 'mofan1', '墨魚', 'Magic饕餮'] | 
Ignoring roster for [Leões Porto Salvo Esports] in competition [LPLOL 2nd Division/2022 Season/Summer Playoffs] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Grow uP Escolinhas] in competition [LPLOL/2018 Season/Open Split] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [ORO eSports] in competition [LPLOL/2018 Season/Open Split] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Team Pirates] in competition [LPLOL/2018 Season/Open Split] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Hexagone Esports] in competition [LPLOL/2018 Season/Split 1 Relegations] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [União de Leiria eSports] in competition [LPLOL/2018 Season/Split 1 Relegations] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Why eSports] in competition [LPLOL/2018 Season/Split 1 Relegations] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [XD Prinfor] in competition [LPLOL/2018 Season/Split 1 Relegations] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [ASP Esports] in competition [LPLOL/2019 Season/Open Split] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Grow uP eSports] in competition [LPLOL/2019 Season/Open Split] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [LPLOL/2024 Season/Spring Playoffs] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [LPLOL/2024 Season/Spring Playoffs] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [LPLOL/2024 Season/Spring Playoffs] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [LPLOL/2024 Season/Spring Playoffs] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Team King] in competition [LSPL/2014 Season/Spring/Qualifier] as RL and R not equal: ['Banana (Guo Yu-Tong)', 'MonKey (Li Qin-Jie)', 'Corn (Lei Wen)', 'Luo (Luo Ci-Rui)'] | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [FriendZone] in competition [LST/2019 Season/Spring Qualifier/Indonesia/National Qualifier] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Millennial Team] in competition [LST/2019 Season/Spring Qualifier/Indonesia/National Qualifier] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [NwB Pro Gming] in competition [LST/2019 Season/Spring Qualifier/Indonesia/National Qualifier] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Hawaiian] in competition [LST/2019 Season/Spring Qualifier/Thailand/National Qualifier] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [OHHELLNO] in competition [LST/2019 Season/Spring Qualifier/Thailand/National Qualifier] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [BALA NEED ORD] in competition [LST/2019 Season/Summer Qualifier/ID-MY-SG] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Corgi V2] in competition [LST/2019 Season/Summer Qualifier/ID-MY-SG] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Impunity] in competition [LST/2019 Season/Summer Qualifier/ID-MY-SG] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [One Plus] in competition [LST/2019 Season/Summer Qualifier/ID-MY-SG] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Barcy Esports] in competition [LST/2019 Season/Summer Qualifier/Philippines] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Bren Esports] in competition [LST/2019 Season/Summer Qualifier/Philippines] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [GH ALPHA] in competition [LST/2019 Season/Summer Qualifier/Philippines] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Hey Gaming] in competition [LST/2019 Season/Summer Qualifier/Philippines] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [JENGSKI] in competition [LST/2019 Season/Summer Qualifier/Philippines] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Ruyal Esports] in competition [LST/2019 Season/Summer Qualifier/Philippines] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Teletigers Esports Club] in competition [LST/2019 Season/Summer Qualifier/Philippines] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [ALERNATIVE] in competition [LST/2019 Season/Summer Qualifier/Thailand] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Time Force] in competition [LST/2019 Season/Summer Qualifier/Thailand] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Underdog] in competition [LST/2019 Season/Summer Qualifier/Thailand] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Yellow Duck] in competition [LST/2019 Season/Summer Qualifier/Thailand] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Young Blood] in competition [LST/2019 Season/Summer Qualifier/Thailand] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Team Game Changer] in competition [Luxembourg Tour/2022 Season/Summer Qualifiers/Qualifier 2] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [LVP SuperLiga 2nd Division/2024 Season/Spring Playoffs] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [LVP SuperLiga 2nd Division/2024 Season/Spring Playoffs] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [LVP SuperLiga 2nd Division/2024 Season/Spring Playoffs] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [LVP SuperLiga 2nd Division/2024 Season/Spring Playoffs] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [BCN Squad] in competition [LVP SuperLiga/2021 Season/Spring Promotion] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [eMonkeyz] in competition [LVP SuperLiga/2021 Season/Spring Promotion] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Movistar Riders Academy] in competition [LVP SuperLiga/2021 Season/Spring Promotion] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [LVP SuperLiga/2024 Season/Spring Playoffs] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [LVP SuperLiga/2024 Season/Spring Playoffs] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [LVP SuperLiga/2024 Season/Spring Playoffs] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [LVP SuperLiga/2024 Season/Spring Playoffs] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [LVP SuperLiga/2024 Season/Spring Playoffs] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [TBD] in competition [LVP SuperLiga/2024 Season/Spring Playoffs] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [MSE-S] in competition [Málaga Open 2022/Online Qualifier/Qualifier 1] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [MSE-S] in competition [Málaga Open 2022/Online Qualifier/Qualifier 2] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [MSE-S] in competition [Málaga Open 2022/Online Tournament] as RL and R not equal:  | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [4eSport] in competition [Mastercard Nexus Tour 2022/Etape 5] as RL and R not equal: ['Manguier', 'Jiah', 'Jpzz', 'Bouhahahahahaha', 'EkkoSuna'] | 
Ignoring roster for [Amazing (French team)] in competition [Mastercard Nexus Tour 2022/Etape 5] as RL and R not equal: ['Naikyu', 'Caillou', 'Siiphi', 'Venaks', 'Kitanø'] | 
Ignoring roster for [AtomiX Gaming] in competition [Mastercard Nexus Tour 2022/Etape 5] as RL and R not equal: ['KatizZ', 'ŁαstAckermαη', 'Bulîen', 'Jasper (French Player)', 'Vdeckk', '04NL Eärendil', 'Mimolettus'] | 
Ignoring roster for [BH3-Esport] in competition [Mastercard Nexus Tour 2022/Etape 5] as RL and R not equal: ['Draco (French Player)', 'KikiEnClaket', 'Guirake', 'Made Jhin', 'KirinTor', 'Shènglì', 'LeoKujo'] | 
Ignoring roster for [BON CHANCE] in competition [Mastercard Nexus Tour 2022/Etape 5] as RL and R not equal: ['Kross', 'Syker', 'Zoro', 'VoooDoood', 'Bago (French Player)', 'Kosan', 'pyyrat'] | 
Ignoring roster for [DREAGS] in competition [Mastercard Nexus Tour 2022/Etape 5] as RL and R not equal: ['Senkuu', 'Rog974', 'Katashi', 'Bordeo', 'Koga', 'Zaycear', 'Granturie', 'Kalaa', 'Silons'] | 
Ignoring roster for [EGM Demesys] in competition [Mastercard Nexus Tour 2022/Etape 5] as RL and R not equal: ['Grey (French Player)', 'Kisine', 'Efasio', 'Nicolo', 'EdmundHV', 'Tenesix', 'Zola'] | 
Ignoring roster for [Esport Generation] in competition [Mastercard Nexus Tour 2022/Etape 5] as RL and R not equal: ['ROG Edruto', 'Kasipasun', 'theocacao', 'go wow stp', 'Nitjit'] | 
Ignoring roster for [Fumée Esport] in competition [Mastercard Nexus Tour 2022/Etape 5] as RL and R not equal: ['WshBien', 'Keutur', 'Doope', 'motomo', 'Djoo', 'MrAxel'] | 
Ignoring roster for [GONEXTfast] in competition [Mastercard Nexus Tour 2022/Etape 5] as RL and R not equal: ['Firweer', 'Heinze', 'Jailbait', 'Virtuose', 'Bodies'] | 
Ignoring roster for [Hybrid Team] in competition [Mastercard Nexus Tour 2022/Etape 5] as RL and R not equal: ['Ryzen', 'Ziqa', 'Testo (French Player)', 'Helmout', 'Darkal', 'Wescker', 'Maxod'] | 
Ignoring roster for [Les Flexers] in competition [Mastercard Nexus Tour 2022/Etape 5] as RL and R not equal: ['Walou', 'arkfly', 'Sayn (French Player)', 'Ipados', 'Takyre'] | 
Ignoring roster for [LOOKING FOR TEAM] in competition [Mastercard Nexus Tour 2022/Etape 5] as RL and R not equal: ['Meta (French Player)', 'Luniik', 'Benji (French Player)', 'Biquette', 'Canou', 'Twik'] | 
Ignoring roster for [MG Eisbär] in competition [Mastercard Nexus Tour 2022/Etape 5] as RL and R not equal: ['Sharkyy', 'LORD (MG Eisbär Team)', 'Raph', 'NaaQ', 'Rob la castagne', 'TLK'] | 
Ignoring roster for [Nitescence eSports] in competition [Mastercard Nexus Tour 2022/Etape 5] as RL and R not equal: ['Agou', 'Eupho', 'Lilith', 'Akuma', 'Shankusu', 'Noxy', 'Eupho'] | 
Ignoring roster for [Nomad (French Team)] in competition [Mastercard Nexus Tour 2022/Etape 5] as RL and R not equal: ['Arcanist', 'Djany', 'Shuba', 'Nefsy', 'Marychou'] | 
Ignoring roster for [Orks Grand Poitiers] in competition [Mastercard Nexus Tour 2022/Etape 5] as RL and R not equal: ['PoyPoy', 'Jokozz', 'Vilow', 'WiseSalami', 'Dydy'] | 
Ignoring roster for [PuR Esport] in competition [Mastercard Nexus Tour 2022/Etape 5] as RL and R not equal: ['XL Finn Fanboy', 'PuR Khrónos', 'Délicieux Steak', 'PuR Ohmygad', 'PuR Urya'] | 
Ignoring roster for [RF Crew] in competition [Mastercard Nexus Tour 2022/Etape 5] as RL and R not equal: ['Ibra', 'Engage', 'Krüppi', 'Olivier le routier', 'Vango', 'MLK'] | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Serenia Esport] in competition [Mastercard Nexus Tour 2022/Etape 5] as RL and R not equal: ['Suta', 'Yangi', 'YoxHell', 'Nilsog', 'Godo', 'Kasane'] | 
Ignoring roster for [SYNERGIE] in competition [Mastercard Nexus Tour 2022/Etape 5] as RL and R not equal: ['Elven', 'Exxidara', 'Ronor', 'Shiroe', 'Cottira', 'Hamchi'] | 
Ignoring roster for [The Side Project] in competition [Mastercard Nexus Tour 2022/Etape 5] as RL and R not equal: ['Màgìc (French Player)', 'Nositrax', 'Jay Tee', 'Okula', 'Zanarkand1'] | 
Ignoring roster for [Ticroco Academy] in competition [Mastercard Nexus Tour 2022/Etape 5] as RL and R not equal: ['Ilyxøu', 'Siphar', 'Shiro (French Player)', 'GoldenPenny', 'Mirouka', 'Dragnir'] | ['Top', 'Jungle', 'Mid', 'Bot', 'Support']
Ignoring roster for [Tiduam] in competition [Mastercard Nexus Tour 2022/Etape 5] as RL and R not equal: ['Zorac (French Player)', 'Sharp (French Player)', 'Malek (French Player)', 'Mayd', 'Chaat'] | 
Ignoring roster for [Triome] in competition [Mastercard Nexus Tour 2022/Etape 5] as RL and R not equal: ['Revokaiser', 'NaWanK', 'Zagaa', 'Phantom (French Player)', 'FilanKaze', 'ZZ_22', 'Karken'] | Top
Ignoring roster for [Une équipe] in competition [Mastercard Nexus Tour 2022/Etape 5] as RL and R not equal: ['LeGardienDuZoo', 'PatateVolante', 'Pyrasux', 'Kurnoth', 'Bartoh', 'BlueHells'] | 
Ignoring roster for [XK Shadow] in competition [Mastercard Nexus Tour 2022/Etape 5] as RL and R not equal: ['XK Terminator', 'XK Milou', 'XK Shiro', 'XK VGeeks', 'XK Bouquetin', 'Darcor'] | 
Ignoring roster for [YoD esport] in competition [Mastercard Nexus Tour 2022/Etape 5] as RL and R not equal: ['Flareon', 'Bèko', 'Ewalence', 'Kõby', 'Vicheapagna', 'YoD luna'] | 
Ignoring roster for [YŌKAI Esport] in competition [Mastercard Nexus Tour 2022/Etape 5] as RL and R not equal: ['YOKAI Vall', 'YOKAI Snake', 'YOKAI Geldo', 'YOKAI Saucisse', 'YOKAI Menphi', 'YOKAI Rookie', 'YOKAI Asayari', 'YOKAI Roson', 'YOKAI LesGrosBibis'] | 
